subset,label,rel_path,bytes,sha256
100mb,Cat,Cat/306.jpg,31189,97129f07b1bf06dd39b4d9d9ed539e45da2ed17ad563c5589b5e9b45b8b099f8
100mb,Dog,Dog/5268.jpg,22255,bfa653eeb3bdb219e89f1220bdd598254fded323a6b88d4e21d5d649ef69325c
100mb,Cat,Cat/7078.jpg,13582,b4e830544b498d6507141d810616a0705c1946005b6447d7b11796427fbedc5e
100mb,Dog,Dog/3335.jpg,4461,a2732e019471ac18393f2ab9d09595246ce36170288848cd9bc83841ac7a5257
100mb,Cat,Cat/5259.jpg,6562,e09988d108cbedcb6ae3e0181d1b0819eed25cb32cc2b16ffad3f8f857637a9d
100mb,Dog,Dog/12414.jpg,52371,e56174d05b5781bcb0f185a25786961d3bd2b2d2eb988a3ad0523f322a5780b0
100mb,Cat,Cat/9913.jpg,23873,fa8236ec8e2c7b6456fa22b4774ef2e1654a7d0c041fde549b61abab7e4a05c7
100mb,Dog,Dog/3321.jpg,19162,58d749a3195271c4262aa2a2d88d55c363070287228be610fae1bf2b4a92769d
100mb,Cat,Cat/1415.jpg,25483,a55289a4150ab5e6a83c4d25caf345fcef2af01cbfcd04ab347e50d1f34c842f
100mb,Dog,Dog/10081.jpg,31173,f9398eadff3476f124fba0495b0136e4c72bba5a63855dadcb177bad98d6a424
100mb,Cat,Cat/10665.jpg,32684,bed61d389bb9d6caeacd973f6c1f122983dde4a7249f1f4e1c7c6d4e6bc4e4d8
100mb,Dog,Dog/1189.jpg,31547,38233ac7161678b982fe57e755274875e706a09fec0a176cb2f11a0188866cde
100mb,Cat,Cat/4197.jpg,64064,606a902a07f303edef5063d9d84a573a0f4629d214a8d767eb03928fa7c2fc34
100mb,Dog,Dog/1165.jpg,35326,6c29634717f56a4acafee2c1be3a083ebbd7c85cba80da9afd5cc403c02d195c
100mb,Cat,Cat/7623.jpg,23194,87183feccf9415d07fb0f74ac63983688968a7f1135ba7dfb84ecbfc69033866
100mb,Dog,Dog/1385.jpg,46902,1065ced893fc742a48423b459ed208ab6374489dffda83883b87d57ac87b9937
100mb,Cat,Cat/6505.jpg,32720,32f0e2a599ccd81e014ce7535f91396f95ccc76961fdd8075a04965c93e33099
